path,name,created_on,last_modified
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/September/Mexican-Ambassador-visit-sep-16,زيارة السفير المكسيكي,2019-11-19 14:36:53,2019-11-19 14:40:42
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/October,October,2019-11-19 14:36:48,2019-11-19 14:36:48
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/October/Najah-Exhibition-oct31,معرض نجاح أبوظبي 2019,2019-11-19 14:36:51,2019-11-19 14:39:20
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/October/Science-exhibition-at-ADNEC-oct-02,معرض العلوم في مركز أبوظبي الوطني للمعارض,2019-11-19 14:36:50,2019-11-19 14:39:33
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/October/Hazza-Almanzoori-oct-06,عودة رائد الفضاء الإماراتي هزاع المنصوري,2019-11-19 14:36:48,2019-11-19 14:39:02
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/November,November,2019-11-19 14:36:42,2019-11-19 14:36:42
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/November/German-Ambassadors-visit-nov-05,زيارة السفير الألماني,2019-11-19 14:36:43,2019-11-19 14:38:41
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/November/Flag-day-nov-03,يوم العلم 2019,2019-11-19 14:36:42,2019-11-19 14:38:28
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/November/counsul-visit-nov27,زيارة القنصل الكوري,2019-12-04 12:51:23,2019-12-04 12:52:20
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/November/national-day-auh-nov27,احتفالات اليوم الوطني في جامعة زايد بأبوظبي,2019-12-04 12:51:25,2019-12-04 12:52:09
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/January,يناير,2020-01-20 14:28:36,2020-01-20 14:28:36
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/January/student-orientation-jan7,اليوم التوجيهي للطلبة المستجدين,2020-01-20 15:23:43,2020-01-20 15:25:08
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/January/Korean-minister-Jan20,المهرجان الثقافي الإماراتي- الكوري ينطلق بجامعة زاي,2020-01-20 15:23:39,2020-01-20 15:24:38
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/January/lecture,محاضرة من تقديم معالي الدكتور عبداللطيف بن راشد الزياني - الأمين العام لمجلس التعاون لدول الخليج العربية,2020-01-23 13:26:46,2020-01-23 13:41:44
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/February,February,2019-04-14 13:18:56,2019-04-14 13:18:56
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/February/cspot2020,المعرض المهني السنوي 2020,2020-02-11 16:10:27,2020-02-11 16:11:45
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/February/clinic,افتتاح العيادة الطبية الجديدة في جامعة زايد بأبوظبي بالتعاون مع المركز الطبي الكندي,2020-02-12 12:26:47,2020-02-12 12:27:06
https://www.zu.ac.ae/main/ar/photo_gallery/2011,2011,2018-10-30 11:19:20,2018-10-30 11:19:20
https://www.zu.ac.ae/main/ar/photo_gallery/2012,2012,2018-10-30 11:19:07,2018-10-30 11:19:07
https://www.zu.ac.ae/main/ar/photo_gallery/2013,2013,2018-10-30 11:18:53,2018-10-30 11:18:53
https://www.zu.ac.ae/main/ar/photo_gallery/2014,2014,2018-10-30 11:18:16,2018-10-30 11:18:16
https://www.zu.ac.ae/main/ar/photo_gallery/2014/_provost,صور من غداء موظفي جامعة زايد مع نائب مدير جامعة زايد بالانابة كجزء من المشاركة المجتمعية والحوار المفتوح مع أعضاء هيئة التدريس والموظفي,2018-10-30 11:18:49,2018-10-30 11:18:49
https://www.zu.ac.ae/main/ar/photo_gallery/2015,2015,2018-10-30 11:17:20,2018-10-30 11:17:20
https://www.zu.ac.ae/main/ar/photo_gallery/2015/najah,نجاح 2015,2018-10-30 11:18:11,2018-10-30 11:18:11
https://www.zu.ac.ae/main/ar/photo_gallery/2015/mou_sap,جامعة زايد توقّع مذكرة تفاهم مع SAP ,2018-10-30 11:18:07,2018-10-30 11:18:07
https://www.zu.ac.ae/main/ar/photo_gallery/2016,2016,2019-04-14 13:54:43,2019-04-14 13:54:43
https://www.zu.ac.ae/main/ar/photo_gallery/2016/_current_year,2016,2019-04-14 13:55:05,2019-04-14 13:55:05
https://www.zu.ac.ae/main/ar/photo_gallery/2016/_current_year/usds_visit, جامعة زايد تستقبل وكيل الخارجية الأميركية ريتشارد ستينغل ,2019-04-14 13:57:00,2019-04-14 13:57:00
https://www.zu.ac.ae/main/ar/photo_gallery/2016/_current_year/mbr_visit,صاحب السمو محمد بن راشد آل مكتوم يزور جامعة زايد في دبي,2019-04-14 13:56:52,2019-04-14 13:56:52
https://www.zu.ac.ae/main/ar/photo_gallery/2016/_current_year/total,جامعة زايد توقع مذكرة تفاهم مع شركة توتال,2019-04-14 13:56:39,2019-04-14 13:56:39
https://www.zu.ac.ae/main/ar/photo_gallery/2016/_current_year/quinoa,"دبي تستضيف أكبر مؤتمر دولي حول ""الكينوا""",2019-04-14 13:55:53,2019-04-14 13:55:53
